Time elapsed was 44340ns or 0.000044340s,,44340
Time elapsed was 43762ns or 0.000043762s,,43762
Time elapsed was 43929ns or 0.000043929s,,43929
Time elapsed was 44507ns or 0.000044507s,,44507
Time elapsed was 43593ns or 0.000043593s,,43593
Time elapsed was 44910ns or 0.000044910s,,44910
Time elapsed was 45216ns or 0.000045216s,,45216
Time elapsed was 45400ns or 0.000045400s,,45400
Time elapsed was 48400ns or 0.000048400s,,48400
Time elapsed was 87863ns or 0.000087863s,,87863
,,
Total time in nanoseconds,,491920
Mean time in nanoseconds,,49192
Mean time in seconds, ,0.000049192 s
