Time elapsed was 636091765ns or 0.636091765s,,0.636091765
Time elapsed was 627481228ns or 0.627481228s,,0.627481228
Time elapsed was 614296555ns or 0.614296555s,,0.614296555
Time elapsed was 604669643ns or 0.604669643s,,0.604669643
Time elapsed was 604726361ns or 0.604726361s,,0.604726361
Time elapsed was 601385563ns or 0.601385563s,,0.601385563
Time elapsed was 601088610ns or 0.601088610s,,0.60108861
Time elapsed was 603395828ns or 0.603395828s,,0.603395828
Time elapsed was 601279575ns or 0.601279575s,,0.601279575
Time elapsed was 595377517ns or 0.595377517s,,0.595377517
,,
Total time in seconds,,6.089792645
Mean time in seconds,,0.6089792645
