Time elapsed was 94163651ns or 0.094163651s,,0.094163651
Time elapsed was 76340284ns or 0.076340284s,,0.076340284
Time elapsed was 79250168ns or 0.079250168s,,0.079250168
Time elapsed was 80244394ns or 0.080244394s,,0.080244394
Time elapsed was 85013556ns or 0.085013556s,,0.085013556
Time elapsed was 80947721ns or 0.080947721s,,0.080947721
Time elapsed was 75836168ns or 0.075836168s,,0.075836168
Time elapsed was 76452932ns or 0.076452932s,,0.076452932
Time elapsed was 77598711ns or 0.077598711s,,0.077598711
Time elapsed was 78355520ns or 0.078355520s,,0.07835552
,,
Total time in seconds for AZ99,,0.804203105
Mean time in seconds for AZ99,,0.0804203105
