Time elapsed was 469709575ns or 0.469709575s,0.469709575
Time elapsed was 466352480ns or 0.466352480s,0.46635248
Time elapsed was 468242748ns or 0.468242748s,0.468242748
Time elapsed was 465651656ns or 0.465651656s,0.465651656
Time elapsed was 462651527ns or 0.462651527s,0.462651527
Time elapsed was 443174129ns or 0.443174129s,0.443174129
Time elapsed was 449111767ns or 0.449111767s,0.449111767
Time elapsed was 458247520ns or 0.458247520s,0.45824752
Time elapsed was 425974868ns or 0.425974868s,0.425974868
Time elapsed was 456019308ns or 0.456019308s,0.456019308
,
Total time in seconds,4.565135578
Mean time in seconds,0.4565135578
