Time elapsed was 317423667226ns or 317.423667226s,,317.423667226
Time elapsed was 316793519137ns or 316.793519137s,,316.793519137
Time elapsed was 323133056470ns or 323.133056470s,,323.13305647
Time elapsed was 323393801503ns or 323.393801503s,,323.393801503
Time elapsed was 319278681059ns or 319.278681059s,,319.278681059
Time elapsed was 319462521045ns or 319.462521045s,,319.462521045
Time elapsed was 319965526375ns or 319.965526375s,,319.965526375
Time elapsed was 318711040266ns or 318.711040266s,,318.711040266
Time elapsed was 318294848717ns or 318.294848717s,,318.294848717
Time elapsed was 319647548218ns or 319.647548218s,,319.647548218
,,
Total time in seconds,,3196.104210016
,,
Mean time in seconds,,319.6104210016
